score,open_hours_week,binned_score,coded_size,coded_review_counts,coded_price,num_photos,is_bus_web,is_phone_number,is_message_bus,num_attributes,num_questions,polarity,subjectivity,binned_score_y
4.0,65.9294813466788,low,0,669.7657657657658,1,0.0,0,1,0,21.333842627960276,0.0,0.0,0.0,0
3.5,103.0,high,1,512.0,0,258.0,1,1,0,21.0,0.0,0.1651816378066378,0.5297068302068302,2
4.0,48.0,high,0,353.0,1,509.0,1,1,0,34.0,5.0,0.25449337121212123,0.5517121212121212,2
4.0,42.0,medium,2,1122.0,1,1879.0,1,1,0,33.0,7.0,0.27020247438412903,0.6192217654447868,1
4.0,77.0,high,0,209.0,0,354.0,1,1,0,17.0,0.0,0.3627519908075464,0.620095042132079,2
4.0,66.0,high,2,2540.0,1,2198.0,1,1,1,30.0,13.0,0.14533465608465607,0.6169404761904761,2
4.0,65.9294813466788,high,2,1085.0,1,1044.0,1,1,0,27.0,4.0,0.31275534361471863,0.587238380832131,2
4.0,32.0,high,0,2051.0,1,4170.0,1,1,0,21.0,13.0,0.16320726495726495,0.5073400488400489,2
4.0,49.0,high,0,292.0,0,464.0,0,1,0,30.0,2.0,0.23694773119159274,0.6483487081701368,2
4.0,84.0,high,2,183.0,1,138.0,1,1,0,25.0,0.0,0.30615550667970026,0.5633976865428477,2
4.5,63.0,high,1,568.0,1,553.0,1,1,0,24.0,0.0,0.2522222222222222,0.5350026709401711,2
4.0,53.0,high,0,125.0,0,88.0,1,1,0,17.0,0.0,0.18017425933441558,0.5155743540313853,2
4.0,77.0,high,1,328.0,0,100.0,1,1,1,19.0,0.0,0.33562254316564666,0.6019736011115321,2
4.0,77.0,medium,2,376.0,2,588.0,0,1,0,26.0,3.0,0.3417844611528822,0.5108174281858491,1
4.0,57.0,high,0,537.0,1,414.0,1,1,0,26.0,0.0,0.17507002801120447,0.5164675955852428,2
5.0,55.0,high,0,441.0,1,600.0,0,1,0,14.0,4.0,0.2626839710468743,0.5336199785877206,2
4.0,58.0,high,2,924.0,3,1254.0,1,1,0,28.0,12.0,0.2335322452844774,0.5460591244073386,2
4.0,46.0,high,0,27.0,0,19.0,0,1,0,13.0,0.0,0.12262529047431645,0.6273338205805739,2
4.0,42.0,high,2,453.0,1,333.0,1,1,1,32.0,0.0,0.3612285099882756,0.6596599927849928,2
3.0,65.9294813466788,medium,2,164.0,1,89.0,1,1,0,13.0,0.0,0.16354111096535337,0.6129814013147347,1
